10,0,10,ubcs (覺★青年超冒險蓋),[公告] 523新增違規案例及上周校正回歸個案 水桶,Sun May 23 06:49:09 2021
0,0,0,arsonlolita (蘿莉塔大魔王),[公告] 八卦板板規(2021.05.11),Tue May 11 15:03:06 2021
65,5,60,ubcs (覺★青年超冒險蓋),[公告] 周六新增大量校正回歸水桶案例,Sat May 22 23:22:14 2021
204,636,-432,ubcs (覺★青年超冒險蓋),[公告] 置底大怒灌Hate閒聊區,Fri May 14 13:58:47 2021
20,27,-7,hong1126 (ⒽⓄⓃⒼ①①②⑥是喵),[問卦]   想打上海復星BNT的請進,Sun May 23 08:05:33 2021
7,7,0,taker627 (你馬英九嗎?),[問卦]  人一綠就腦殘 誰贊成誰反對,Sun May 23 08:19:36 2021
8,0,8,smallx4321 (叔叔),[問卦]  出門去沒人的地方會變防疫破口嗎？,Sun May 23 10:01:42 2021
0,0,0,GlassHeartHo (RRrRrRrRrRrrRrrRrRrrrr),[問卦]  校正回歸真正的影響？,Sun May 23 10:44:10 2021
11,1,10,w1230319 (龜山金城武),[問卦] 100年後台灣歷史課本怎麼形容2021年？,Sun May 23 10:00:26 2021
4,6,-2,Behind4 (背後4),[問卦] 228白色恐怖是為了救台灣吧？,Sun May 23 08:32:42 2021
7,0,7,iecju520 (哎依喜德魯),[問卦] 3+11的真相背後的真相,Sun May 23 05:46:20 2021
9,1,8,WuDunE (GLAUCUS),[問卦] 300萬能幹嘛,Sun May 23 09:08:23 2021
20,7,13,aabbcc520 (U質文),[問卦] 30歲要如何吸引女人的八卦,Sun May 23 09:25:55 2021
1,1,0,enderboy7652 (要憐憫戰人仔),[問卦] 484應該要還給新一代一個公道,Sun May 23 09:47:13 2021
34,1,33,Carmelo3 (      六甲おろし),[問卦] 5月31日有可能開學嗎？,Sun May 23 07:32:10 2021
8,0,8,xzcb2008 (麻瓮！日本變態貓貓),[問卦] =.= 疫情宅在家每天螢幕9小時！？,Sun May 23 09:05:56 2021
53,14,39,nexo (nexo),[問卦] BNT疫苗打一劑要一萬 你打嗎,Sun May 23 03:15:10 2021
20,0,20,POWERSERIES (Zen),[問卦] Donki Donki 老闆現在在想什麼,Sun May 23 09:52:23 2021
1,5,-4,hi1576 (：),[問卦] PTT是什麼？？,Sun May 23 02:37:29 2021
1,2,-1,HankYang (黃金神掌),[問卦] 「地方」檢驗的到底是哪個地方？,Sun May 23 10:13:52 2021
3,0,3,popo1234 (我很好騙),[問卦] 「開放討論」是側翼之語嗎？,Sun May 23 08:31:13 2021
186,16,170,littlered112 (H.B.Rothschild),[問卦] 一天開兩次會的意義,Sun May 23 09:48:47 2021
6,1,5,p5287058 (Franz991),[問卦] 一鍵收回側翼&覺青粉專的讚,Sun May 23 09:46:39 2021
8,0,8,kohanchen (kohanchen),[問卦] 七宗罪之首為什麼是傲慢啊？,Sun May 23 10:15:09 2021
5,1,4,ssaw5166 (四季偽五六),[問卦] 上班訂飲料算群聚嗎？？,Sun May 23 10:27:51 2021
9,0,9,cns12852 (7D),[問卦] 下一個走上神壇的是不是行動支付,Sun May 23 09:33:28 2021
9,1,8,milfguy (MILFGUY),[問卦] 下一波台女youtuber熱潮？,Sun May 23 10:24:17 2021
5,7,-2,arnold3 (憂鬱型男阿雲),[問卦] 中媒是不是惟恐天下不亂 一直報中國美國,Sun May 23 09:25:35 2021
6,0,6,Enota (if.then.else.),[問卦] 二延平即時影像,Sun May 23 08:54:21 2021
1,4,-3,scottaa (貓貓),什麼情況下平板會是首選,Sun May 23 06:59:17 2021
12,4,8,polyhome (小天),[問卦] 今天應該沒人猜神秘數字了吧,Sun May 23 08:31:03 2021
10,2,8,jazzcai (如果有一天),[問卦] 今天會是幾加幾再加幾？,Sun May 23 09:06:42 2021
25,4,21,postit (擁有秘密是快樂的事),[問卦] 以色列施打疫苗後的現況？,Sun May 23 03:59:57 2021
18,19,-1,bjqs0827 (sqangela),[問卦] 假如現在是國民黨還是民眾黨執政,Sun May 23 09:22:27 2021
5,0,5,fickleness (小舞揭),[問卦] 偉哉CDC接下來該怎麼行銷國產疫苗？,Sun May 23 09:47:14 2021
1,0,1,shrinkage (Shrinkage),[問卦] 做吃的利潤沒一半都是賠錢？,Sun May 23 09:46:25 2021
1,2,-1,wayne4321 (),[問卦] 全力支持北中南廣設快篩站並公布數字,Sun May 23 09:49:39 2021
10,1,9,taiwannext (2016綠營重新執政 ),[問卦] 八卦板上不信美國會給台灣武肺炎疫苗？,Sun May 23 07:09:13 2021
2,3,-1,toro556613 (立禾),[問卦] 再一次無薪假OK嗎？,Sun May 23 03:45:41 2021
2,4,-2,y3226999 (咪苦說她喜歡我 >///<),[問卦] 初音會敬老尊賢嗎==？,Sun May 23 03:01:29 2021
15,7,8,maylin810 (住在深海鳳梨裡),[問卦] 到底什麼時候要封城,Sun May 23 10:10:36 2021
7,3,4,Townshend (Pete),[問卦] 到昨天才知道要校正回歸嗎？,Sun May 23 08:11:20 2021
27,11,16,mjj90138 (蔡包),[問卦] 剛剛怎麼了,Sun May 23 05:28:25 2021
4,0,4,virus2017 (virus2017),[問卦] 十八歲以下要打哪種疫苗,Sun May 23 10:27:10 2021
3,1,2,songgood (ilovegoodgame),[問卦] 千聖是有什麼毛病,Sun May 23 06:32:22 2021
10,2,8,a032889650 (小胞子),[問卦] 又忘記帶鑰匙的我該做什麼,Sun May 23 07:38:25 2021
4,2,2,huan0 (A5688),[問卦] 取消每天開記者會或換時段是否更好？,Sun May 23 09:27:19 2021
1,4,-3,ben108472 (ben108472),[問卦] 可以用復星提賣BNT疫苗來跟美國要疫苗？,Sun May 23 06:20:36 2021
11,4,7,z5419 (邱哥),[問卦] 台北市現在接近空城壯態,Sun May 23 03:26:43 2021
4,0,4,manphis (...),[問卦] 台灣人施打疫苗的數量,Sun May 23 09:19:48 2021
24,1,23,lopiuytio (),[問卦] 台灣人民看起來很傻嗎？,Sun May 23 09:38:39 2021
24,12,12,justin200428 (7788kkk),[問卦] 台灣人的末日是不是快了？,Sun May 23 04:34:12 2021
6,3,3,chinagay (中國同志),[問卦] 台灣同胞現在po 文是不是要多想一下,Sun May 23 09:04:56 2021
24,5,19,a9940597 (假摔哥),[問卦] 台灣怎麼會變成這樣？,Sun May 23 08:37:25 2021
5,4,1,zxc445567 (飄飄),[問卦] 台灣是不是沒有像三星的財閥？,Sun May 23 09:16:05 2021
29,5,24,kinjk01 (小白),[問卦] 台灣究竟什麼時候開始落後韓國？,Sun May 23 09:30:46 2021
8,1,7,lpbrother (LP哥(LP = Love & Peace)),[問卦] 台灣要送什麼才能刺激疫苗接種？,Sun May 23 09:04:37 2021
12,2,10,ILOVEluee (天天開心),[問卦] 各位鄉民要謹慎自己的發言了？,Sun May 23 08:19:25 2021
6,1,5,MoToBlue (MoToBlue),[問卦] 同島一命是這種概念嗎？,Sun May 23 06:56:33 2021
5,0,5,oz5566 (威廉。霍恩索倫),[問卦] 同樣是國軍,Sun May 23 09:03:07 2021
26,0,26,manhaspen (男人有筆),[問卦] 哪個卡通人物的媽媽最會做菜？,Sun May 23 02:40:28 2021
14,1,13,sodistrues (true),[問卦] 喝了泰國富江nanno的血能抗武漢肺炎嗎？,Sun May 23 08:44:19 2021
6,1,5,vy8824 (巴塞隆納- 紐塞),[問卦] 四個月海陸 vs 6個月替代役,Sun May 23 07:24:42 2021
3,0,3,LawLawDer (肉肉的),[問卦] 國外也有發生，所以台灣發生也很正常,Sun May 23 10:34:24 2021
5,3,2,Creeping (新天聾人),[問卦] 國稅局願意幫助防疫嗎,Sun May 23 10:03:15 2021
3,1,2,as23305747 (BBQ),[問卦] 國軍吃美豬？,Sun May 23 09:14:57 2021
41,3,38,jasonlin2100 (jasonlin),[問卦] 地方政府能自己買BNT疫苗嗎？,Sun May 23 10:07:59 2021
7,1,6,TPEE (TPE),[問卦] 坐船去公海打疫苗可行嗎？,Sun May 23 03:11:18 2021
1,2,-1,usong (幽爽),[問卦] 外星人也會確診嗎？,Sun May 23 10:13:58 2021
12,2,10,badjye911 (阿三),[問卦] 多強大的病毒可以導致人類全滅亡？,Sun May 23 10:34:01 2021
9,2,7,aa83090202 (ylllewwww),[問卦] 大家多久沒吃芒果乾了,Sun May 23 09:10:05 2021
22,4,18,williammini (迷你衛里恩),[問卦] 大家覺得摸彩c是真的愛台灣嗎？,Sun May 23 10:17:41 2021
0,0,0,z1120123 (dogisgood),[問卦] 天際線到底怎麼玩的八卦,Sun May 23 10:42:40 2021
2,1,1,NCTUEE800808 (White Dragon Society),[問卦] 女森是不是對可愛的很難以抗拒？,Sun May 23 02:39:02 2021
8,1,7,a828203 (),[問卦] 好想去看看牆外的世界！,Sun May 23 09:46:29 2021
5,3,2,lcw33242976 (逆天改命，脫非入歐),[問卦] 好棒，三點了,Sun May 23 03:29:32 2021
50,5,45,Birthday5566 (生日5566),[問卦] 好騙的人有什麼特徵？,Sun May 23 08:08:14 2021
0,0,0,Aloee (柯粉),[問卦] 如何避免病毒進入生番部落,Sun May 23 10:38:18 2021
52,4,48,s81669 (jack),[問卦] 如果不買BNT，是不是也在賭？,Sun May 23 02:31:21 2021
0,0,0,zo6al (我書讀得少 你不要騙我),[問卦] 如果交中國籍女友會變中共同路人嗎？,Sun May 23 10:37:33 2021
8,6,2,medlife0830 (allen game),[問卦] 如果台灣不是民主國家了？,Sun May 23 08:31:55 2021
3,0,3,ppp123 (鋼鐵韓粉-P哥),[問卦] 如果實名QR  走進足跡店內會怎樣？,Sun May 23 10:05:33 2021
25,6,19,qazwsx1029 (含巨大長莖),[問卦] 如果打了疫苗還是確診台灣人會怎樣,Sun May 23 07:33:47 2021
11,3,8,saniblue (sanity),[問卦] 如果能讓疫情戰犯罪有應得，你會怎麼做？,Sun May 23 03:43:42 2021
7,3,4,forgenius (否雞),[問卦] 姓范的人是不是都很讓人討厭？,Sun May 23 10:23:11 2021
5,1,4,ericayou (vorka era),[問卦] 實驗數據校正回歸被教授譙是沒有價值嗎,Sun May 23 09:56:10 2021
6,6,0,ilovemami (聯絡簿教主),[問卦] 對面國為什麼都沒災情惹,Sun May 23 03:26:50 2021
9,5,4,efthu456 (小哲),[問卦] 工作後越來越厭世正常嗎,Sun May 23 02:45:20 2021
4,4,0,Trozy (藍),[問卦] 工程師的人生是不是屌打8+9？,Sun May 23 10:00:05 2021
731,294,437,blackdog173 (黑狗),[問卦] 幾年內票不會投給民進黨,Sun May 23 07:44:20 2021
3,1,2,biting (菜B),[問卦] 很遠的地方有個女郎 名字叫做耶利亞,Sun May 23 02:40:28 2021
